uf,nome_cno,codigo_ibge,nome_ibge,motivo
BA,MUQUEM DE SAO FRANCISCO,2922250,Muquém do São Francisco,preposição (de/do)
BA,SANTA TERESINHA,2928505,Santa Terezinha,grafia (s/z)
MG,AMPARO DA SERRA,3102506,Amparo do Serra,preposição (da/do)
MG,BRASOPOLIS,3108909,Brazópolis,grafia (s/z)
MT,SANTO ANTONIO DO LEVERGER,5107800,Santo Antônio de Leverger,preposição (do/de)
PA,ELDORADO DOS CARAJAS,1502954,Eldorado do Carajás,preposição (dos/do)
PA,SANTA ISABEL DO PARA,1506500,Santa Izabel do Pará,grafia (s/z)
RJ,PARATI,3303807,Paraty,grafia histórica
RN,ARES,2401206,Arez,grafia (s/z)
RN,BOA SAUDE,2405306,Januário Cicco,renomeação
RR,SAO LUIZ,1400605,São Luiz do Anauá,renomeação (nome completo)
RS,SANTANA DO LIVRAMENTO,4317103,Sant'Ana do Livramento,apóstrofo
SC,BALNEARIO DE PICARRAS,4212809,Balneário Piçarras,preposição (de/sem)
SE,AMPARO DE SAO FRANCISCO,2800100,Amparo do São Francisco,preposição (de/do)
TO,COUTO DE MAGALHAES,1706001,Couto Magalhães,preposição (de/sem)
TO,FORTALEZA DO TABOCAO,1708254,Tabocão,renomeação
TO,SAO VALERIO DA NATIVIDADE,1720499,São Valério,renomeação (nome encurtado)
