codigo_ibge,nome,uf,regiao_imediata,regiao_intermediaria,latitude,longitude,populacao_2026
1100015,Alta Floresta D'Oeste,RO,Cacoal,Ji-Paraná,-12.542005,-62.371925,22724
1100023,Ariquemes,RO,Ariquemes,Porto Velho,-9.910750,-62.917134,109731
1100031,Cabixi,RO,Vilhena,Ji-Paraná,-13.522212,-60.658200,5640
1100049,Cacoal,RO,Cacoal,Ji-Paraná,-11.425122,-61.406500,98884
1100056,Cerejeiras,RO,Vilhena,Ji-Paraná,-13.193654,-61.326578,16957
1100064,Colorado do Oeste,RO,Vilhena,Ji-Paraná,-13.121671,-60.580983,16432
1100072,Corumbiara,RO,Vilhena,Ji-Paraná,-12.896555,-61.072777,7938
1100080,Costa Marques,RO,Ji-Paraná,Ji-Paraná,-12.123268,-64.041984,13499
1100098,Espigão D'Oeste,RO,Cacoal,Ji-Paraná,-11.422691,-60.738129,32960
1100106,Guajará-Mirim,RO,Porto Velho,Porto Velho,-11.324382,-64.572588,43633
1100114,Jaru,RO,Jaru,Porto Velho,-10.613613,-62.649553,55774
1100122,Ji-Paraná,RO,Ji-Paraná,Ji-Paraná,-10.389888,-61.764478,140800
1100130,Machadinho D'Oeste,RO,Jaru,Porto Velho,-9.216276,-62.053296,34229
1100148,Nova Brasilândia D'Oeste,RO,Cacoal,Ji-Paraná,-11.594946,-62.229266,16251
1100155,Ouro Preto do Oeste,RO,Ji-Paraná,Ji-Paraná,-10.498816,-62.066747,38686
1100189,Pimenta Bueno,RO,Cacoal,Ji-Paraná,-11.787964,-60.863227,39377
1100205,Porto Velho,RO,Porto Velho,Porto Velho,-9.128702,-64.396475,520379
1100254,Presidente Médici,RO,Ji-Paraná,Ji-Paraná,-11.181642,-61.963150,20372
1100262,Rio Crespo,RO,Ariquemes,Porto Velho,-9.689376,-62.751452,3781
1100288,Rolim de Moura,RO,Cacoal,Ji-Paraná,-11.751924,-61.816329,63336
1100296,Santa Luzia D'Oeste,RO,Cacoal,Ji-Paraná,-12.079974,-61.755942,7798
1100304,Vilhena,RO,Vilhena,Ji-Paraná,-12.050562,-60.265073,110708
1100320,São Miguel do Guaporé,RO,Ji-Paraná,Ji-Paraná,-11.605920,-63.068503,22343
1100338,Nova Mamoré,RO,Porto Velho,Porto Velho,-10.469410,-64.569214,28894
1100346,Alvorada D'Oeste,RO,Ji-Paraná,Ji-Paraná,-11.289328,-62.608707,13611
1100379,Alto Alegre dos Parecis,RO,Cacoal,Ji-Paraná,-12.699100,-61.949502,12213
1100403,Alto Paraíso,RO,Ariquemes,Porto Velho,-9.682546,-63.455216,17471
1100452,Buritis,RO,Ariquemes,Porto Velho,-10.094888,-63.973609,30573
1100502,Novo Horizonte do Oeste,RO,Cacoal,Ji-Paraná,-11.697200,-62.069500,7894
1100601,Cacaulândia,RO,Ariquemes,Porto Velho,-10.344242,-63.074233,4242
1100700,Campo Novo de Rondônia,RO,Ariquemes,Porto Velho,-10.480949,-63.796372,8972
1100809,Candeias do Jamari,RO,Porto Velho,Porto Velho,-8.960440,-63.368751,24454
1100908,Castanheiras,RO,Cacoal,Ji-Paraná,-11.469659,-61.880282,3445
1100924,Chupinguaia,RO,Vilhena,Ji-Paraná,-12.647360,-60.913753,10250
1100940,Cujubim,RO,Ariquemes,Porto Velho,-9.019859,-62.525938,15872
1101005,Governador Jorge Teixeira,RO,Jaru,Porto Velho,-10.808098,-63.184352,8264
1101104,Itapuã do Oeste,RO,Porto Velho,Porto Velho,-9.081986,-63.151974,9247
1101203,Ministro Andreazza,RO,Cacoal,Ji-Paraná,-11.145038,-61.583669,6389
1101302,Mirante da Serra,RO,Ji-Paraná,Ji-Paraná,-11.097577,-62.885523,9579
1101401,Monte Negro,RO,Ariquemes,Porto Velho,-10.277473,-63.393796,12100
1101435,Nova União,RO,Ji-Paraná,Ji-Paraná,-10.903225,-62.519562,6506
1101450,Parecis,RO,Cacoal,Ji-Paraná,-12.283437,-61.377233,4356
1101468,Pimenteiras do Oeste,RO,Vilhena,Ji-Paraná,-13.168883,-61.516998,2308
1101476,Primavera de Rondônia,RO,Cacoal,Ji-Paraná,-11.893447,-61.313484,3259
1101484,São Felipe D'Oeste,RO,Cacoal,Ji-Paraná,-11.904243,-61.469336,5571
1101492,São Francisco do Guaporé,RO,Ji-Paraná,Ji-Paraná,-12.395843,-63.191588,17601
1101500,Seringueiras,RO,Ji-Paraná,Ji-Paraná,-11.842182,-63.238832,12973
1101559,Teixeirópolis,RO,Ji-Paraná,Ji-Paraná,-10.954310,-62.272760,4507
1101609,Theobroma,RO,Jaru,Porto Velho,-10.084868,-62.276737,8383
1101708,Urupá,RO,Ji-Paraná,Ji-Paraná,-11.087356,-62.430328,11254
1101757,Vale do Anari,RO,Jaru,Porto Velho,-9.708156,-61.932450,8178
1101807,Vale do Paraíso,RO,Ji-Paraná,Ji-Paraná,-10.291435,-62.091371,6740
1200013,Acrelândia,AC,Rio Branco,Rio Branco,-10.010622,-66.949243,14762
1200054,Assis Brasil,AC,Brasiléia,Rio Branco,-10.765979,-69.874728,8716
1200104,Brasiléia,AC,Brasiléia,Rio Branco,-10.768814,-69.183025,28198
1200138,Bujari,AC,Rio Branco,Rio Branco,-9.629003,-68.143270,14076
1200179,Capixaba,AC,Rio Branco,Rio Branco,-10.489806,-67.813225,11035
1200203,Cruzeiro do Sul,AC,Cruzeiro do Sul,Cruzeiro do Sul,-8.017147,-72.844723,99404
1200252,Epitaciolândia,AC,Brasiléia,Rio Branco,-10.866524,-68.612761,19997
1200302,Feijó,AC,Tarauacá,Cruzeiro do Sul,-9.033293,-70.961891,37874
1200328,Jordão,AC,Tarauacá,Cruzeiro do Sul,-9.196446,-71.874184,9972
1200336,Mâncio Lima,AC,Cruzeiro do Sul,Cruzeiro do Sul,-7.522109,-73.517639,20616
1200344,Manoel Urbano,AC,Sena Madureira,Rio Branco,-9.360671,-69.864681,13057
1200351,Marechal Thaumaturgo,AC,Cruzeiro do Sul,Cruzeiro do Sul,-9.071695,-72.636998,18154
1200385,Plácido de Castro,AC,Rio Branco,Rio Branco,-10.298159,-67.359862,17088
1200393,Porto Walter,AC,Cruzeiro do Sul,Cruzeiro do Sul,-8.509628,-72.751093,11386
1200401,Rio Branco,AC,Rio Branco,Rio Branco,-10.053153,-68.272730,390058
1200427,Rodrigues Alves,AC,Cruzeiro do Sul,Cruzeiro do Sul,-7.851450,-73.223924,15580
1200435,Santa Rosa do Purus,AC,Sena Madureira,Rio Branco,-9.501869,-70.443442,7285
1200450,Senador Guiomard,AC,Rio Branco,Rio Branco,-10.003379,-67.476142,22447
1200500,Sena Madureira,AC,Sena Madureira,Rio Branco,-9.837505,-69.460892,44170
1200609,Tarauacá,AC,Tarauacá,Cruzeiro do Sul,-8.481349,-71.410105,47090
1200708,Xapuri,AC,Brasiléia,Rio Branco,-10.590872,-68.529203,19244
1200807,Porto Acre,AC,Rio Branco,Rio Branco,-9.694474,-67.694049,17585
1300029,Alvarães,AM,Tefé,Tefé,-3.699016,-65.334519,16938
1300060,Amaturá,AM,Tabatinga,Tefé,-3.388192,-68.204512,11633
1300086,Anamã,AM,Manacapuru,Manaus,-3.487067,-61.755843,9981
1300102,Anori,AM,Coari,Manaus,-4.219208,-62.177440,18135
1300144,Apuí,AM,Manicoré,Lábrea,-7.763545,-59.358941,21971
1300201,Atalaia do Norte,AM,Tabatinga,Tefé,-5.737579,-71.815588,15920
1300300,Autazes,AM,Manaus,Manaus,-3.810548,-59.572863,46641
1300409,Barcelos,AM,São Gabriel da Cachoeira,Manaus,-0.428506,-63.526284,17805
1300508,Barreirinha,AM,Parintins,Parintins,-3.034469,-57.146016,34025
1300607,Benjamin Constant,AM,Tabatinga,Tefé,-5.560591,-70.339706,41261
1300631,Beruri,AM,Coari,Manaus,-4.447259,-61.859861,22842
1300680,Boa Vista do Ramos,AM,Parintins,Parintins,-3.152121,-57.655540,27052
1300706,Boca do Acre,AM,Lábrea,Lábrea,-8.618345,-67.930367,39176
1300805,Borba,AM,Manaus,Manaus,-5.094728,-59.328605,34836
1300839,Caapiranga,AM,Manacapuru,Manaus,-3.119120,-61.780324,14980
1300904,Canutama,AM,Lábrea,Lábrea,-7.711818,-64.186904,18327
1301001,Carauari,AM,Tefé,Tefé,-5.168820,-67.326894,31383
1301100,Careiro,AM,Manaus,Manaus,-3.777426,-60.205752,32289
1301159,Careiro da Várzea,AM,Manaus,Manaus,-3.325411,-59.677073,20081
